title,drama,comedy,action,thriller,romance,crime,adventure,animation,fantasy,family,sci-fi,mystery,horror,documentary,biography,history,music,short,sport,war,musical,reality-tv,western,game-show,talk-show,img_link
Paranormal,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZSG_cSnxFC1ZAyEAY8TVZGyhQhF1-juNtAmKWYHl14vZKIpLVMlW0zZ3PSRMf-RqcouO5vJ-6WrJGoW8m0awa7Dr1NPUzLSGZPDypTHSVNSs3khfDQEC4okpmw.jpg?r=054
Rio,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQRlpMQhGF4kDsaidTH9-kHy_V4CoQkroyW4uqF3c8nksDOfsLofz9SIRoN_T37FXAaKe3gj_NQEEVxtDWNU67qZQg.jpg?r=5b4
Orphan,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-1091-300.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbhzjTh6yjQ57xEvlikMz8hEY9llfNV7SfizNzRZx43skCnAPB21-XND39NWpqA_Wq33jSG5XHVplUb27oXqV-sj8g.jpg?r=6b3
Alien vs. Predator,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfXSutIwCvSCYx4DBwpM64WKoVa6g2l_aZoovrrS08oFaqmFvGoqGceIy0-b1BU7VhYdVjqfQKdE1EXyRIN6dknC9Q.jpg?r=17c
Train to Busan,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2506-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbSVlJHZwnzFoouIJADr30oiR6ewL6iK8USK4Dcr_DdR9x8W6y0fl6f4f3ZwrRXsHhFHUSqWTUkyadwBBRmJG3RPhw.jpg?r=2ed
Blade  Trinity,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeEX4Ru54Rhl4wKZOUD6LBcWAYIx1SNJ5_uiXZE28IE7fwlLs7b_wlBbbPaVZ_rlKRQzrHaOnCSgsTiFveYXCYEd8g.jpg?r=ca6
Insidious Chapter 2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABanFoU62dYiUpxzPnIob0Ipog4qUCoaAycK67InTj8TvBsapLgkKsivtCb5N9c4lz0yBZ7w0-PBV58ivsttt_VIdKA.jpg?r=484
The Last Airbender,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUJ7pt_ANs3KhLUQ4wzKnsUBmiCj90Gpp_4h6NiTzoQbbX--HeVvnlwXGqM9jo_DaAXZFMIWtTp03SntQRZrKvg-xA.jpg?r=0dd
Nausica  of the Valley of the Wind,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTczZ5ng4MK4wXLXc-GW1v87AHbhgcvn2lCJGJT6mYhB0zT8LdeLeS_QevXVhXaNonHxr1ochHUdMEMmOD_7fgpiOQ.jpg?r=6f4
Predator 2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQSNivoLaHJ4meVjMaY65nO8xQy1iL-nfMOSXt8rUeMJSFsnn5JHSlj7e2Zwhv2Siy7OTQdl1H0GjFq-Als9-in5kg.jpg?r=854
